Type,Test,countmaxDOWN,countmaxIN_SEARCH,countmaxUP,countminDOWN,countminIN_SEARCH,countminUP,countmeanDOWN,countmeanIN_SEARCH,countmeanUP,countvarDOWN,countvarIN_SEARCH,countvarUP,indexmin,indexmax,indexmean,minminmin,minminmax,minminmean,minmaxmin,minmaxmax,minmaxmean,minmeanmin,minmeanmax,minmeanmean,maxminmin,maxminmax,maxminmean,maxmaxmin,maxmaxmax,maxmaxmean,maxmeanmin,maxmeanmax,maxmeanmean,meanminmin,meanminmax,meanminmean,meanmaxmin,meanmaxmax,meanmaxmean,meanmeanmin,meanmeanmax,meanmeanmean,"('lostPackets', 'sum')","('lostPackets', 'mean')","('timesForwarded', 'sum')","('timesForwarded', 'max')","('timesForwarded', 'mean')","('timesForwarded', 'var')",entopy_input,min_input,max_input,mean_input,var_input,entopy_output,min_output,max_output,mean_output,var_output,min_diff,max_diff,mean_diff,var_diff,entopy_normolized,min_normolized,max_normolized,mean_normolized,var_normolized,src_count,dst_count
ddos_attack,0,258.0,,541.0,2.0,,376.0,120.21052631578948,,471.0952380952381,7548.175438596492,,1750.1904761904766,0,32,16,0,1,0.9696969696969697,2,7,3.8484848484848486,1.1333333333333333,1.7894736842105263,1.3386632056609866,1,1,1.0,3,7,4.757575757575758,1.25,1.894736842105263,1.5056037112409761,0.6923076923076923,1.0,0.9906759906759907,2.8,7.0,4.052525252525252,1.2007692307692308,1.8421052631578947,1.3933952573227206,521,2.368181818181818,180,153,0.8181818181818182,106.99875466998749,0.6988097084711485,3.0,1428.0,112.5,119019.2258064516,0.676978833734868,1.0,1438.0,112.5,119813.54838709677,-95.0,69.0,0.0,890.3225806451613,1.415174940395665,1.0,165.0,96.0,890.3225806451613,3371,3155
ddos_attack,1,314.0,,510.0,5.0,,351.0,106.36842105263158,,427.57142857142856,8085.912280701754,,2073.9571428571435,33,65,49,1,1,1.0,2,7,4.393939393939394,1.1071428571428572,2.1538461538461537,1.6517715798873278,1,1,1.0,3,8,5.393939393939394,1.380952380952381,2.6153846153846154,1.9647429274463684,1.0,1.0,1.0,2.0,7.230769230769231,4.677544677544677,1.1790816326530613,2.3511250654107796,1.772483076335992,294,1.2,24,10,0.09795918367346938,0.7116761458681831,1.3820567274599322,14.0,110.0,45.36666666666667,636.5160919540228,1.330524668465825,7.0,162.0,45.36666666666667,1239.412643678161,-110.0,54.0,0.0,836.2758620689655,1.422221659056602,1.0,165.0,111.0,836.2758620689655,1140,968
ddos_attack,10,296.0,1.0,555.0,2.0,1.0,384.0,127.6842105263158,1.0,453.0,10060.561403508771,,3118.2000000000007,66,98,82,1,1,1.0,3,8,5.212121212121212,1.2903225806451613,2.55,1.8031162253574773,1,1,1.0,4,10,6.03030303030303,1.5862068965517242,2.8260869565217392,2.102215773380487,1.0,1.0,1.0,3.533333333333333,8.538461538461538,5.365811965811965,1.35632183908046,2.6478260869565218,1.900394906151452,476,1.576158940397351,194,79,0.6423841059602649,30.708895293832924,1.3802196727706404,15.0,187.0,56.25,1121.8064516129032,1.2942252726282668,7.0,235.0,56.25,2709.483870967742,-157.0,74.0,0.0,1546.1290322580646,1.4240957331697146,1.0,232.0,158.0,1546.1290322580646,1260,1077
ddos_attack,100,274.0,,521.0,9.0,,358.0,114.52631578947368,,446.3333333333333,5753.707602339182,,1640.0333333333333,99,131,115,1,1,1.0,1,7,3.9696969696969697,1.0,2.5,1.4964681114444534,1,1,1.0,2,7,4.484848484848484,1.2272727272727273,2.5625,1.6905994302208462,1.0,1.0,1.0,1.2857142857142858,7.0,4.030880230880231,1.025974025974026,2.5083333333333333,1.5484694231241711,382,1.5850622406639003,102,46,0.42323651452282157,16.228457814661134,1.3786064737544932,3.0,80.0,35.121212121212125,389.3598484848485,1.2521969652360918,1.0,217.0,35.121212121212125,1821.7348484848487,-186.0,51.0,0.0,2297.6875,1.42251459009064,1.0,238.0,187.0,2297.6875,1019,832
ddos_attack,101,367.0,,555.0,2.0,,412.0,122.3157894736842,,478.95238095238096,9462.561403508771,,1910.0476190476195,132,164,148,1,1,1.0,2,7,5.424242424242424,1.103448275862069,2.642857142857143,1.697024650202607,1,1,1.0,4,9,6.181818181818182,1.4444444444444444,2.9285714285714284,2.0877145925199168,1.0,1.0,1.0,2.0,7.0,5.553535353535353,1.1781372948039615,2.6891636141636144,1.8015214621586655,414,1.2817337461300309,145,96,0.44891640866873067,31.695363729015614,1.3940528981041538,12.0,142.0,54.8125,763.0604838709677,1.332124436713449,5.0,269.0,54.8125,2335.060483870968,-208.0,59.0,0.0,1972.5806451612902,1.4275094849213952,1.0,268.0,209.0,1972.5806451612902,1542,1351
ddos_attack,102,265.0,1.0,594.0,2.0,1.0,422.0,135.89473684210526,1.0,508.6666666666667,9225.099415204675,,2122.433333333333,165,197,181,0,1,0.9696969696969697,2,6,4.181818181818182,1.0714285714285714,2.7142857142857144,1.4471171903083486,1,1,1.0,3,7,4.818181818181818,1.1428571428571428,3.142857142857143,1.6726397551139993,1.0,1.0,1.0,2.2,6.0,4.3073953823953826,1.0775935374149659,2.998430141287284,1.545126984963409,601,2.1696750902527078,45,40,0.1624548736462094,5.832208444514202,1.3598969371869782,11.0,138.0,48.71875,1091.6925403225807,1.2989135061128223,6.0,207.0,48.71875,2029.8215725806451,-183.0,93.0,0.0,2813.2903225806454,1.419622129984029,1.0,277.0,184.0,2813.2903225806454,1327,1088
ddos_attack,103,229.0,,557.0,6.0,,383.0,134.89473684210526,,496.8095238095238,6975.543859649121,,2255.461904761906,198,230,214,1,1,1.0,2,6,3.3333333333333335,1.0416666666666667,1.6428571428571428,1.2325754276811616,1,1,1.0,2,7,3.8181818181818183,1.0833333333333333,1.7272727272727273,1.3209042930771218,1.0,1.0,1.0,2.0,6.0,3.502564102564102,1.0576923076923077,1.7202797202797202,1.2634493689291666,448,2.488888888888889,33,12,0.18333333333333332,2.005307262569833,1.2879517079361475,2.0,113.0,28.8125,736.1572580645161,1.2054710894581149,1.0,144.0,28.8125,1229.2540322580646,-136.0,82.0,0.0,1347.1612903225807,1.4222826303028375,1.0,219.0,137.0,1347.1612903225807,861,677
ddos_attack,104,309.0,1.0,457.0,1.0,1.0,302.0,116.89473684210526,1.0,394.2857142857143,8000.766081871345,0.0,1912.2142857142858,231,263,247,0,1,0.9696969696969697,2,6,4.787878787878788,1.1111111111111112,2.3333333333333335,1.705627309520529,0,1,0.9696969696969697,2,7,5.212121212121212,1.1111111111111112,2.6666666666666665,1.912164064344616,0.0,1.0,0.9696969696969697,2.0,6.0,4.930236430236431,1.1111111111111112,2.4962962962962965,1.769617584218494,606,3.139896373056995,44,13,0.22797927461139897,2.645671416234888,1.3203137143233465,4.0,157.0,48.766666666666666,1475.2885057471265,1.17080832956713,3.0,385.0,48.46666666666667,5335.154022988504,-366.0,81.0,0.3,5752.493103448279,1.4271654148170752,1.0,448.0,367.3,5752.493103448276,1097,717
ddos_attack,105,312.0,2.0,512.0,1.0,2.0,394.0,124.3157894736842,2.0,449.7142857142857,8012.339181286549,0.0,1347.714285714286,264,296,280,0,1,0.9696969696969697,2,8,4.848484848484849,1.0344827586206897,2.473684210526316,1.7098410464413225,1,1,1.0,3,8,5.848484848484849,1.3333333333333333,2.9473684210526314,2.0675424612534408,1.0,1.0,1.0,2.8666666666666667,8.0,5.500077700077699,1.1633699633699632,2.674763832658569,1.870558841055715,468,1.5972696245733788,411,101,1.4027303754266212,93.36465005376601,1.3553419134111158,4.0,151.0,54.15151515151515,1319.2575757575755,1.327379425560412,1.0,156.0,54.15151515151515,1690.7575757575755,-96.0,77.0,0.0,1237.5,1.4071043313753175,1.0,174.0,97.0,1237.5,1370,1246
ddos_attack,106,295.0,1.0,538.0,5.0,1.0,436.0,109.73684210526316,1.0,485.6666666666667,6689.426900584795,,944.0333333333338,297,329,313,1,1,1.0,3,7,4.818181818181818,1.1071428571428572,2.1052631578947367,1.4903275867652468,1,1,1.0,3,8,5.181818181818182,1.1923076923076923,2.4,1.7622739256591797,1.0,1.0,1.0,3.0,7.0,4.818181818181818,1.120174697097774,2.143809523809524,1.5632700553493617,453,1.4245283018867925,24,9,0.07547169811320754,0.5116362121302305,1.334650521685074,3.0,136.0,48.46875,1379.4183467741937,1.2213686634444416,6.0,309.0,48.46875,3903.3538306451615,-218.0,93.0,0.0,3144.7741935483873,1.4232439917294488,1.0,312.0,219.0,3144.7741935483873,1402,1234
